C;Question;Réponse 1;Réponse 2;Réponse 3;;Bonne réponse
1;La première édition du langage C date de ;1970;1972;1981;;2
2;Le langage C suit le paradigme;Impératif;Objet;Prédicatif;;1
3;La dernière norme du langage C date de ;2011;2015;2018;;1
4;Le point d'entrée d'un programme C est la fonction main();oui;non;;;1
5;La fonction main() renvoie;un long;un int;;;2
6;La magnitude du type signed int est de ;-2 147 483 647 à +2 147 483 647;-32 767 à +32 767;;;2
7;Les principaux type scalaires sont char, short, int, long, float, double;oui;non;;;1
8;Le type string permet de gérer un tableau de char;oui;non;;;2
9;La déclaration d'une variable suit la syntaxe suivante. Le point virgule final est omis (et ce dans toutes les instructions qui suivront);type nom_de_variable = valeur;nom_de_variable type = valeur;def type nom_de_variable = valeur;;1
10;Tout code C qui gère des entrées/sorties doit inclure la bibliothèque stdio.h;oui;non;;;1
11;Quelle est l’instruction correcte pour saisir un char dans une variable nommée car ?;scanf("%c", car);scanf("%c", &car);scanf("%C", &car);;2
12;Quelle est l’instruction correcte pour afficher un char d’une variable nommée car ?;printf("Vous avez saisi : %lc\n", car);printf("Vous avez saisi : %c\n", car);printf("Vous avez saisi : %C\n", car);;1
13;Quelle écriture est correcte pour comparer i à 1 ?;if(i = 1);if(i == 1);if(i === 1);;2
14;Quel est l’opérateur du NON logique ?;!; ^;;;1
15;Est-il possible de regrouper les « cases » dans un switch ?;oui;non;;;1
16;L’opérateur pour le modulo est ;mod;%;:;;2
17;Quelle est la syntaxe correcte pour définir une constante ?;#DEFINE CONSTANTE valeur;#define CONSTANTE valeur (sans point virgule à la fin);#define CONSTANTE valeur (avec un point virgule à la fin);;2
18;Il est possible de déclarer des types définis à côté des types pré-définis. Quel exemple est syntaxiquement correct ?;typedef int TAB3[3];TYPEDEF int TAB3[3];typedef TAB3[3] of int;;1
19;Quelle écriture est correcte pour pouvoir afficher des valeurs de 0 à 5 si i est initialisé à 0 ?;while(i  < 6) {;while(i < 5) {;while(i >= 5) {;;1
20;Cette instruction int t[10] permet de ;déclarer un tableau de 10 éléments;déclarer un tableau dont le dernier indice est 10;déclarer un tableau dont la valeur max est 10;;1
21;Pour récupérer la taille d’un tableau il faut utiliser ;length(nomDuTableau);sizeof(nomDuTableau);nomDuTableau.length;;2
22;Quelle est la syntaxe correcte pour déclarer une fonction ?;nomDeLaFonction([type argument-1, …, type argument-n]) : type;type nomDeLaFonction([argument-1 type, …,  argument-n type]) ;type nomDeLaFonction([type argument-1, …, type argument-n]) ;;3
23;Quelle est la syntaxe correcte pour déclarer une procédure ?;nomDeProcedure([type argument-1, …, argument-n]) {;void nomDeProcedure([type argument-1, …, type argument-n]) {;void nomDeProcedure([argument-1, …, argument-n]) {;;2
24;Quelle déclaration d’une chaîne de caractères est correcte ?;char s[7+1] = "Bonjour\0";char s[7] = "Bonjour";String s = "Bonjour";;1
25;char *string = "Bonjour\0" est correct pour déclarer une chaîne de caractères ?;oui;non;;;1
26;char ^string = "Bonjour\0" est correct pour déclarer une chaîne de caractères ?;oui;non;;;2
27;Quelles sont les instructions qui permettent de déclarer un pointeur et d’affecter une valeur ?;int *p  et p = *i;int *p  et p = &i;int *p  et p = ^i;;2
28;Les instructions suivantes int *p et p = &i permettent ?;De déclarer un pointeur et de récupérer la valeur de i;De déclarer un pointeur et de récupérer l’adresse de la variable i ;;;2
29;Si l’on déclare une structure selon ce modèle : struct professeur { … quelle est la syntaxe correcte pour déclarer une variable de ce type ?;professeur professeur1;struct professeur professeur1;;;2
30;Est-il possible d'initialiser une structure comme un tableau, par exemple ainsi : struct rectangle rectangle2 = {2, 5};oui;non;;;1
